split_group,dest,images
580128f7811097c4a225,test,2
58349df9fe470fe283aa,test,2
58b46894a78ce5b0dd6d,test,2
5960d3460714007d8ea7,test,2
5ae8e224545d32f0d7ad,test,2
5b16376abb507d2acbcc,test,2
5cd46fbafd1273c031c0,test,2
5dddd29bf1be6418d772,test,2
6049d5b3805c99397e48,test,2
609ff6e8a8fcb307bc8d,test,2
610049f03d978ac330fe,test,2
61eb294033a5fb59c0cc,test,2
629c61fb8a8d8d08cb0e,test,2
62e7b45cc0c8391619dd,test,2
6417e0a1d8d6992dc241,test,2
643a2c047820f1b52659,test,2
dfbe4c433cc48f4bdf08,test,2
0007f3eac7ed74e6b951,test,1
b01fcd390618619f3bb6,val,2
033b2a2ef51982d4bfc6,val,1
09c36d8eedf37a645bc1,val,1
0c78f1f95ffedb46b134,val,1
0d9336220ea645539b6c,val,1
0ebf75bf07b4b2e550cd,val,1
160cd025abbfed881e6b,val,1
1649f959e9d7125ce31f,val,1
0b4015565aacc807c2ea,val,1
0ec4d4f9f70983adff6f,val,1
0f5c4c627b06197686cd,val,1
1664813cb335c4c119ae,val,1
1cb2609ac1c9da3cf375,val,1
29d4c4a5bbcb9e1e3796,val,1
0921a9c5a04f7f4d8cac,val,1
0b7db3b49d007783eaf9,val,1
0e9de837ccdf1584ce34,val,1
0eb1af7545a5135565e8,val,1
0f510111d63b415be211,val,1
10664efa42b2149d246f,val,1
127cf21f79526c2fc344,val,1
1334b82f7ad0e16cb1fd,val,1
152193c3f715bdc6a143,val,1
15608d75de277dea70af,val,1
158dd8a04306c4130b18,val,1
169e1a514b58b7371093,val,1
16e5ff3b1cbe6237510c,val,1
17a852ad2d3ffe878faa,val,1
e7eef04c3890c1e8fac0,val,2
3baf58f550202e45e008,val,1154
4078fade08f4ab7e4443,val,100
4bd51300eb67c6ce48d2,val,100
56c0518c23fffcd8d8fa,val,100
7a00d3b7257cafb10631,val,100
b3911fa8ab968c509272,val,100
ca6bfcb39fd4420dc88e,val,100
d4461787b6ec25b81083,val,100
0cd8f0b95fe148b4af5f,val,30
029bba6a4a99d91d3cc6,val,15
166909f40e3bf3d13400,val,10
6d7a42ff3ee863603cda,val,10
29756492ddd57c0c94c7,val,9
58ff8f1b918ab31c338c,val,9
4b67f4484b2f55639df5,val,8
6a8d8150a5ce14a2d752,val,8
031740102166f402f978,val,5
0006afb9a77db07444f0,val,1
002c25d2759b94249cc0,val,1
