id,file,w,h,want,n_ann,frac
61693,000000061693.jpg,640,480,"chair,clock,keyboard,laptop,mouse,person,tv",7,0.3332
78085,000000078085.jpg,640,480,"chair,clock,keyboard,laptop,mouse,tv",6,0.2317
370522,000000370522.jpg,640,480,"chair,clock,keyboard,tv",5,0.1234
246001,000000246001.jpg,640,480,"chair,clock,laptop,person,tv",5,0.3896
127926,000000127926.jpg,640,480,"chair,clock,person",3,0.483
279212,000000279212.jpg,640,491,"chair,couch",3,1.6024
308197,000000308197.jpg,640,480,"chair,couch,dining table",4,0.2139
260953,000000260953.jpg,480,640,"chair,couch,dining table,keyboard,laptop,person",8,0.8448
496290,000000496290.jpg,640,480,"chair,couch,dining table,keyboard,mouse",5,0.2657
8064,000000008064.jpg,640,480,"chair,couch,dining table,keyboard,tv",5,0.1258
467887,000000467887.jpg,640,480,"chair,couch,dining table,laptop,mouse,person",6,0.6508
509244,000000509244.jpg,640,480,"chair,couch,dining table,laptop,person,tv",6,0.1285
89792,000000089792.jpg,640,482,"chair,couch,dining table,laptop,tv",5,0.3089
529389,000000529389.jpg,640,566,"chair,couch,dining table,person",5,0.3075
398962,000000398962.jpg,640,480,"chair,couch,dining table,tv",4,0.3567
104349,000000104349.jpg,480,640,"chair,couch,keyboard,laptop",4,0.3395
385770,000000385770.jpg,640,480,"chair,couch,laptop",3,0.2909
292101,000000292101.jpg,640,480,"chair,couch,laptop,mouse",5,1.4587
566536,000000566536.jpg,480,640,"chair,couch,laptop,person",4,1.038
394766,000000394766.jpg,640,480,"chair,couch,laptop,person,tv",5,0.5317
445829,000000445829.jpg,640,480,"chair,couch,laptop,tv",4,0.3188
416610,000000416610.jpg,640,480,"chair,couch,mouse",4,0.6693
82826,000000082826.jpg,640,483,"chair,couch,person",4,0.6602
200446,000000200446.jpg,480,640,"chair,couch,person,tv",4,0.8195
535125,000000535125.jpg,640,480,"chair,couch,tv",4,0.6681
296244,000000296244.jpg,640,480,"chair,dining table",3,0.6928
243361,000000243361.jpg,640,480,"chair,dining table,keyboard,laptop,tv",5,0.4089
198561,000000198561.jpg,640,480,"chair,dining table,keyboard,mouse",5,0.139
336752,000000336752.jpg,640,480,"chair,dining table,keyboard,mouse,tv",5,0.3596
47746,000000047746.jpg,640,480,"chair,dining table,laptop",3,1.2148
55466,000000055466.jpg,640,480,"chair,dining table,laptop,mouse",5,0.4046
242427,000000242427.jpg,480,640,"chair,dining table,laptop,mouse,tv",5,0.4827
269045,000000269045.jpg,612,612,"chair,dining table,laptop,person",4,0.6154
28674,000000028674.jpg,640,480,"chair,dining table,laptop,person,tv",5,0.5509
283408,000000283408.jpg,640,480,"chair,dining table,person",4,0.5605
270706,000000270706.jpg,640,480,"chair,dining table,person,tv",5,0.3547
490869,000000490869.jpg,612,612,"chair,dining table,tv",4,0.9683
448518,000000448518.jpg,640,480,"chair,keyboard",3,0.2228
395761,000000395761.jpg,640,480,"chair,keyboard,laptop",3,0.3056
312596,000000312596.jpg,640,480,"chair,keyboard,laptop,mouse",4,0.2115
405657,000000405657.jpg,640,480,"chair,keyboard,laptop,mouse,person",5,0.4046
221540,000000221540.jpg,640,480,"chair,keyboard,laptop,mouse,person,tv",6,0.3151
477233,000000477233.jpg,640,480,"chair,keyboard,laptop,mouse,tv",5,0.4632
388510,000000388510.jpg,640,480,"chair,keyboard,laptop,person",4,0.388
458286,000000458286.jpg,638,640,"chair,keyboard,laptop,tv",4,0.2709
32231,000000032231.jpg,640,480,"chair,keyboard,mouse,person",4,0.4009
460496,000000460496.jpg,640,480,"chair,keyboard,mouse,person,tv",5,0.4988
427548,000000427548.jpg,640,483,"chair,keyboard,mouse,tv",4,0.3803
468876,000000468876.jpg,640,480,"chair,keyboard,person",3,0.5942
216480,000000216480.jpg,640,480,"chair,keyboard,tv",4,0.5839
227656,000000227656.jpg,480,640,"chair,laptop",2,0.4682
306822,000000306822.jpg,640,480,"chair,laptop,mouse",3,0.2522
333899,000000333899.jpg,612,612,"chair,laptop,mouse,person",4,0.6344
263957,000000263957.jpg,640,533,"chair,laptop,mouse,person,tv",5,0.4676
354603,000000354603.jpg,480,640,"chair,laptop,mouse,tv",4,0.1444
476893,000000476893.jpg,640,480,"chair,laptop,person",3,0.9415
561658,000000561658.jpg,480,640,"chair,laptop,person,tv",4,0.6454
248643,000000248643.jpg,640,639,"chair,laptop,tv",3,0.146
248957,000000248957.jpg,480,640,"chair,mouse",2,0.0888
242779,000000242779.jpg,640,480,"chair,person",4,1.0201
252136,000000252136.jpg,640,480,"chair,person,tv",3,0.7184
326937,000000326937.jpg,640,480,"chair,tv",3,0.337
326925,000000326925.jpg,640,593,clock,1,0.9886
464675,000000464675.jpg,640,480,"clock,couch",3,0.5666
377983,000000377983.jpg,640,480,"clock,couch,dining table,person",5,0.8512
35435,000000035435.jpg,640,480,"clock,couch,laptop,tv",4,0.133
491525,000000491525.jpg,640,480,"clock,couch,person",4,0.4131
435832,000000435832.jpg,640,480,"clock,couch,tv",3,0.1364
271076,000000271076.jpg,480,640,"clock,dining table",2,0.0637
121693,000000121693.jpg,640,480,"clock,dining table,laptop,mouse",4,0.569
78176,000000078176.jpg,640,480,"clock,dining table,person",3,0.3377
481810,000000481810.jpg,640,480,"clock,keyboard,laptop,mouse",4,0.4208
30148,000000030148.jpg,640,504,"clock,keyboard,mouse,tv",4,0.1729
391332,000000391332.jpg,640,480,"clock,keyboard,person,tv",4,0.8615
554217,000000554217.jpg,640,480,"clock,keyboard,tv",3,0.5608
344942,000000344942.jpg,640,480,"clock,laptop",2,0.7091
558077,000000558077.jpg,480,640,"clock,person",2,0.5861
83065,000000083065.jpg,640,604,"clock,person,tv",3,0.8255
573911,000000573911.jpg,612,612,"clock,tv",3,0.2656
374133,000000374133.jpg,640,481,couch,1,0.9728
251113,000000251113.jpg,640,480,"couch,dining table,person",4,0.1961
16361,000000016361.jpg,480,640,"couch,dining table,tv",3,0.1238
453400,000000453400.jpg,640,480,"couch,laptop",3,1.1686
473137,000000473137.jpg,640,480,"couch,laptop,mouse",3,1.1932
399294,000000399294.jpg,640,480,"couch,laptop,person",3,1.1468
411241,000000411241.jpg,640,480,"couch,laptop,person,tv",4,0.5624
63558,000000063558.jpg,640,480,"couch,person",2,0.8594
262561,000000262561.jpg,640,480,"couch,person,tv",4,0.6435
300413,000000300413.jpg,640,480,"couch,tv",3,0.6465
421447,000000421447.jpg,640,480,dining table,1,0.9744
300620,000000300620.jpg,640,513,"dining table,keyboard,laptop,mouse,person,tv",6,0.6059
148665,000000148665.jpg,640,480,"dining table,keyboard,mouse",3,0.4329
415991,000000415991.jpg,640,480,"dining table,laptop",2,1.3063
18072,000000018072.jpg,500,487,"dining table,mouse",3,0.3116
207215,000000207215.jpg,640,480,"dining table,person",4,0.4515
401455,000000401455.jpg,640,480,"dining table,person,tv",5,0.416
171062,000000171062.jpg,480,640,"dining table,tv",3,0.3179
90365,000000090365.jpg,640,480,keyboard,1,0.7847
208340,000000208340.jpg,640,480,"keyboard,laptop",2,1.6372
186685,000000186685.jpg,640,480,"keyboard,laptop,mouse",3,0.7713
280873,000000280873.jpg,640,480,"keyboard,laptop,mouse,person",4,0.5828
318185,000000318185.jpg,640,480,"keyboard,laptop,mouse,person,tv",5,0.2571
122953,000000122953.jpg,640,480,"keyboard,laptop,mouse,tv",5,0.6812
110790,000000110790.jpg,640,480,"keyboard,laptop,person",3,1.137
62175,000000062175.jpg,640,480,"keyboard,laptop,person,tv",4,0.6615
407386,000000407386.jpg,640,480,"keyboard,laptop,tv",4,0.4428
168076,000000168076.jpg,640,480,"keyboard,mouse",2,0.9
413668,000000413668.jpg,500,500,"keyboard,mouse,person",3,0.5799
318219,000000318219.jpg,556,640,"keyboard,mouse,person,tv",4,0.6252
68418,000000068418.jpg,640,480,"keyboard,mouse,tv",3,0.6773
130666,000000130666.jpg,640,480,"keyboard,person",2,0.9077
181739,000000181739.jpg,500,500,"keyboard,person,tv",4,0.3242
457735,000000457735.jpg,500,500,"keyboard,tv",2,0.6603
242286,000000242286.jpg,640,480,laptop,1,0.7743
572795,000000572795.jpg,640,640,"laptop,mouse",2,0.4604
212605,000000212605.jpg,500,500,"laptop,mouse,person",4,0.4883
90490,000000090490.jpg,480,640,"laptop,mouse,person,tv",4,0.3096
461963,000000461963.jpg,640,480,"laptop,mouse,tv",4,0.4111
254410,000000254410.jpg,480,640,"laptop,person",2,0.9885
506515,000000506515.jpg,640,480,"laptop,person,tv",3,1.1167
396039,000000396039.jpg,640,512,"laptop,tv",4,1.0506
443723,000000443723.jpg,640,480,mouse,1,0.2762
94087,000000094087.jpg,640,480,"mouse,person",3,0.2344
485984,000000485984.jpg,640,480,"mouse,tv",2,0.264
299764,000000299764.jpg,640,502,person,3,0.8752
115772,000000115772.jpg,640,480,"person,tv",3,1.2499
142744,000000142744.jpg,640,480,tv,2,0.9591
357391,000000357391.jpg,640,480,bed,2,0.9807
109928,000000109928.jpg,640,480,"bed,bench",2,0.4214
283111,000000283111.jpg,640,480,"bed,chair",2,0.8345
297620,000000297620.jpg,612,612,"bed,chair,couch",3,0.3017
367848,000000367848.jpg,640,480,"bed,chair,couch,person",4,0.3811
271820,000000271820.jpg,480,640,"bed,chair,couch,tv",4,0.2345
402786,000000402786.jpg,640,480,"bed,chair,dining table",3,0.4214
369521,000000369521.jpg,640,480,"bed,chair,person",5,0.5421
52232,000000052232.jpg,640,480,"bed,chair,tv",3,0.2707
174869,000000174869.jpg,640,480,"bed,clock",2,0.8078
398489,000000398489.jpg,640,480,"bed,couch",3,1.2921
334215,000000334215.jpg,640,480,"bed,couch,person",3,0.3743
494155,000000494155.jpg,640,480,"bed,couch,tv",3,0.1502
62703,000000062703.jpg,640,480,"bed,keyboard,laptop,person",4,0.7943
127256,000000127256.jpg,640,480,"bed,keyboard,mouse,tv",4,0.1379
375500,000000375500.jpg,480,640,"bed,keyboard,tv",4,0.2541
351914,000000351914.jpg,640,480,"bed,laptop",3,0.9423
12443,000000012443.jpg,640,480,"bed,laptop,mouse",4,0.3153
179805,000000179805.jpg,640,480,"bed,laptop,person",3,0.861
467437,000000467437.jpg,640,608,"bed,person",2,1.1841
481113,000000481113.jpg,640,487,"bed,person,tv",3,0.6437
436468,000000436468.jpg,480,640,"bed,tv",2,0.6711
569529,000000569529.jpg,640,480,bench,1,0.8768
285890,000000285890.jpg,640,640,"bench,chair",2,0.7287
212741,000000212741.jpg,640,480,"bench,chair,clock,person",6,0.2547
575355,000000575355.jpg,480,640,"bench,chair,dining table",3,0.1848
2179,000000002179.jpg,640,480,"bench,chair,dining table,person",5,0.2829
279129,000000279129.jpg,640,480,"bench,chair,person",4,0.7621
330750,000000330750.jpg,640,480,"bench,clock",2,0.0993
427113,000000427113.jpg,640,480,"bench,clock,person",3,0.5781
532504,000000532504.jpg,514,640,"bench,dining table",2,0.2032
299029,000000299029.jpg,640,480,"bench,dining table,person",4,0.1188
86869,000000086869.jpg,640,480,"bench,person",2,0.6381
24257,000000024257.jpg,640,640,"bench,person,tv",4,0.0305
287033,000000287033.jpg,640,480,chair,2,0.9777
578683,000000578683.jpg,640,480,"chair,clock",2,0.1498
248014,000000248014.jpg,640,480,"chair,clock,couch",3,0.154
203438,000000203438.jpg,640,640,"chair,clock,dining table",3,0.1731
21198,000000021198.jpg,612,612,"chair,clock,dining table,person",4,0.0756
485580,000000485580.jpg,640,480,"chair,clock,laptop,person,tv",5,0.3147
561864,000000561864.jpg,480,640,"chair,clock,person",5,0.4023
179570,000000179570.jpg,640,498,"chair,couch",3,1.5719
516346,000000516346.jpg,480,640,"chair,couch,dining table",3,0.1199
124893,000000124893.jpg,640,480,"chair,couch,dining table,tv",4,0.2509
102133,000000102133.jpg,640,480,"chair,couch,laptop",4,0.2238
367891,000000367891.jpg,612,612,"chair,couch,laptop,person",4,1.0139
245757,000000245757.jpg,640,480,"chair,couch,laptop,tv",6,0.2296
454730,000000454730.jpg,640,480,"chair,couch,person",4,0.6039
152609,000000152609.jpg,640,480,"chair,couch,person,tv",4,0.2839
296056,000000296056.jpg,640,480,"chair,couch,tv",4,0.4102
194758,000000194758.jpg,640,481,"chair,dining table",3,0.6655
320432,000000320432.jpg,640,480,"chair,dining table,laptop,person",4,0.593
109290,000000109290.jpg,480,640,"chair,dining table,person",3,0.481
433023,000000433023.jpg,480,640,"chair,dining table,tv",3,0.4774
563403,000000563403.jpg,640,480,"chair,keyboard,laptop",4,0.2751
441253,000000441253.jpg,640,480,"chair,keyboard,laptop,mouse",4,0.1711
57481,000000057481.jpg,640,480,"chair,keyboard,laptop,mouse,person,tv",6,0.1859
434900,000000434900.jpg,480,640,"chair,keyboard,laptop,mouse,tv",5,0.3058
50942,000000050942.jpg,640,480,"chair,keyboard,mouse,person",4,0.3652
325385,000000325385.jpg,480,640,"chair,keyboard,mouse,person,tv",5,0.1355
523536,000000523536.jpg,640,640,"chair,keyboard,mouse,tv",5,0.3191
439596,000000439596.jpg,500,493,"chair,keyboard,person",4,0.2035
458166,000000458166.jpg,640,481,"chair,keyboard,tv",4,0.5503
371376,000000371376.jpg,640,480,"chair,laptop",2,0.4337
130524,000000130524.jpg,640,480,"chair,laptop,mouse",3,0.2089
445810,000000445810.jpg,640,480,"chair,laptop,mouse,person",4,0.4963
359128,000000359128.jpg,640,480,"chair,laptop,mouse,tv",4,0.0842
413805,000000413805.jpg,640,480,"chair,laptop,person",3,0.8395
112201,000000112201.jpg,480,640,"chair,laptop,person,tv",4,0.5117
274537,000000274537.jpg,640,480,"chair,mouse",3,0.0581
127235,000000127235.jpg,640,480,"chair,person",4,0.9407
458463,000000458463.jpg,640,480,"chair,person,tv",3,0.4672
24154,000000024154.jpg,640,480,"chair,tv",2,0.3351
101675,000000101675.jpg,612,612,clock,1,0.9457
425151,000000425151.jpg,640,480,"clock,couch",2,0.1632
279647,000000279647.jpg,640,480,"clock,couch,person",4,0.3035
535202,000000535202.jpg,640,482,"clock,keyboard,person,tv",4,0.6841
281220,000000281220.jpg,640,616,"clock,person",2,0.5779
470472,000000470472.jpg,640,480,"clock,person,tv",4,0.617
538196,000000538196.jpg,640,640,"clock,tv",2,0.1777
225893,000000225893.jpg,500,640,couch,2,0.8942
99372,000000099372.jpg,640,480,"couch,laptop",3,0.7016
506311,000000506311.jpg,640,480,"couch,laptop,mouse",3,0.4089
438531,000000438531.jpg,640,640,"couch,laptop,person",3,0.8872
176148,000000176148.jpg,640,480,"couch,laptop,person,tv",4,0.1978
371672,000000371672.jpg,480,640,"couch,person",3,0.7604
284658,000000284658.jpg,640,480,"couch,person,tv",4,0.3576
370400,000000370400.jpg,640,480,"couch,tv",2,0.3282
228426,000000228426.jpg,612,612,dining table,1,0.9709
61314,000000061314.jpg,480,640,"dining table,laptop",2,0.9749
443522,000000443522.jpg,640,480,"dining table,mouse",2,0.1321
553373,000000553373.jpg,640,480,"dining table,person",4,0.3654
268739,000000268739.jpg,497,640,"dining table,person,tv",4,0.2537
462224,000000462224.jpg,640,480,keyboard,1,0.7463
459164,000000459164.jpg,640,480,"keyboard,laptop",2,1.0234
385743,000000385743.jpg,640,480,"keyboard,laptop,mouse",3,0.506
97696,000000097696.jpg,640,480,"keyboard,laptop,mouse,tv",4,0.4819
363079,000000363079.jpg,640,513,"keyboard,laptop,person",3,0.7939
307322,000000307322.jpg,640,480,"keyboard,laptop,person,tv",4,0.501
464871,000000464871.jpg,640,480,"keyboard,laptop,tv",4,0.4303
456009,000000456009.jpg,640,480,"keyboard,mouse",2,0.8216
145214,000000145214.jpg,640,480,"keyboard,mouse,person",3,0.4681
5713,000000005713.jpg,640,480,"keyboard,mouse,person,tv",4,0.5563
272490,000000272490.jpg,640,480,"keyboard,mouse,tv",3,0.6685
318401,000000318401.jpg,480,640,"keyboard,person",3,0.8156
248319,000000248319.jpg,640,559,"keyboard,tv",2,0.6118
577522,000000577522.jpg,640,640,laptop,2,0.6449
544253,000000544253.jpg,640,480,"laptop,mouse",2,0.3492
228013,000000228013.jpg,640,480,"laptop,mouse,person",3,0.3581
220922,000000220922.jpg,640,480,"laptop,mouse,tv",5,0.3797
201032,000000201032.jpg,640,480,"laptop,person",2,0.8828
396541,000000396541.jpg,640,480,"laptop,person,tv",3,0.6658
52290,000000052290.jpg,640,480,"laptop,tv",3,0.8914
349234,000000349234.jpg,640,480,mouse,1,0.0762
414501,000000414501.jpg,480,640,"mouse,person",2,0.1618
116181,000000116181.jpg,640,480,person,3,0.8695
157944,000000157944.jpg,640,480,"person,tv",2,1.1894
443649,000000443649.jpg,640,480,tv,1,0.9454
414078,000000414078.jpg,640,480,bed,2,0.9773
262118,000000262118.jpg,640,480,"bed,bench",3,0.2323
264110,000000264110.jpg,640,480,"bed,chair",3,0.8194
45396,000000045396.jpg,640,480,"bed,chair,couch",3,0.2999
133667,000000133667.jpg,480,640,"bed,chair,couch,person",5,0.2396
205089,000000205089.jpg,640,480,"bed,chair,couch,tv",4,0.2071
186500,000000186500.jpg,612,612,"bed,chair,dining table",3,0.3691
314023,000000314023.jpg,640,480,"bed,chair,person",3,0.5336
570022,000000570022.jpg,640,480,"bed,chair,tv",3,0.2491
4820,000000004820.jpg,640,480,"bed,clock",3,0.688
401232,000000401232.jpg,640,480,"bed,couch",3,1.1956
504141,000000504141.jpg,640,480,"bed,couch,person",3,0.3039
310331,000000310331.jpg,640,480,"bed,keyboard,laptop,person",5,0.7671
260111,000000260111.jpg,640,480,"bed,keyboard,tv",3,0.1973
477474,000000477474.jpg,640,480,"bed,laptop",2,0.91
410033,000000410033.jpg,640,480,"bed,laptop,mouse",3,0.2888
131763,000000131763.jpg,640,480,"bed,laptop,person",3,0.8559
256566,000000256566.jpg,640,480,"bed,person",2,1.1403
241129,000000241129.jpg,612,612,"bed,person,tv",3,0.5213
265715,000000265715.jpg,480,640,"bed,tv",2,0.5588
372983,000000372983.jpg,640,480,bench,2,0.8427
136790,000000136790.jpg,640,569,"bench,chair",2,0.5982
445249,000000445249.jpg,480,640,"bench,chair,clock,person",6,0.0404
322992,000000322992.jpg,480,640,"bench,chair,dining table",3,0.1599
414516,000000414516.jpg,640,480,"bench,chair,dining table,person",5,0.1715
115917,000000115917.jpg,640,520,"bench,chair,person",4,0.7428
8791,000000008791.jpg,480,640,"bench,clock",2,0.0364
342211,000000342211.jpg,640,612,"bench,clock,person",4,0.4412
326073,000000326073.jpg,640,506,"bench,dining table",3,0.1583
291834,000000291834.jpg,578,640,"bench,dining table,person",5,0.0412
314378,000000314378.jpg,640,633,"bench,person",2,0.6259
495996,000000495996.jpg,640,480,chair,2,0.9066
347587,000000347587.jpg,480,640,"chair,clock",2,0.0967
521907,000000521907.jpg,480,640,"chair,clock,dining table",3,0.0514
285160,000000285160.jpg,480,640,"chair,clock,dining table,person",5,0.0685
262605,000000262605.jpg,640,588,"chair,clock,laptop,person,tv",5,0.1657
287324,000000287324.jpg,480,640,"chair,clock,person",3,0.2274
386715,000000386715.jpg,640,480,"chair,couch",3,1.3684
235591,000000235591.jpg,480,640,"chair,couch,laptop,person",4,0.8249
146623,000000146623.jpg,640,480,"chair,couch,person",5,0.4843
319043,000000319043.jpg,640,480,"chair,couch,tv",3,0.3565
137961,000000137961.jpg,640,480,"chair,dining table",3,0.4705
306584,000000306584.jpg,640,480,"chair,dining table,laptop,person",4,0.4286
101697,000000101697.jpg,640,480,"chair,dining table,person",4,0.4347
437618,000000437618.jpg,480,640,"chair,dining table,tv",3,0.4487
445175,000000445175.jpg,640,480,"chair,keyboard,laptop",3,0.2028
544121,000000544121.jpg,640,480,"chair,keyboard,laptop,mouse",4,0.1536
400534,000000400534.jpg,640,480,"chair,keyboard,laptop,mouse,tv",5,0.2553
519723,000000519723.jpg,640,480,"chair,keyboard,mouse,tv",4,0.3023
570179,000000570179.jpg,640,480,"chair,keyboard,tv",3,0.1239
523292,000000523292.jpg,480,640,"chair,laptop",3,0.3392
253498,000000253498.jpg,640,480,"chair,laptop,mouse",3,0.1884
393874,000000393874.jpg,481,640,"chair,laptop,mouse,person",4,0.3912
285417,000000285417.jpg,640,480,"chair,laptop,person",3,0.7055
308295,000000308295.jpg,640,512,"chair,laptop,person,tv",4,0.3922
37944,000000037944.jpg,640,514,"chair,person",3,0.8194
267871,000000267871.jpg,640,480,"chair,person,tv",3,0.4646
452878,000000452878.jpg,640,480,"chair,tv",2,0.2447
357254,000000357254.jpg,640,480,clock,2,0.9055
162109,000000162109.jpg,480,640,"clock,keyboard,person,tv",4,0.0663
153466,000000153466.jpg,640,480,"clock,person",2,0.5288
422804,000000422804.jpg,640,480,"clock,person,tv",3,0.4258
22268,000000022268.jpg,640,480,"clock,tv",2,0.1602
276986,000000276986.jpg,640,480,couch,2,0.8745
18903,000000018903.jpg,640,480,"couch,laptop",3,0.6397
496517,000000496517.jpg,640,480,"couch,laptop,person",4,0.8593
506740,000000506740.jpg,640,540,"couch,person",3,0.7598
501294,000000501294.jpg,640,480,"couch,person,tv",3,0.2422
309580,000000309580.jpg,640,480,"couch,tv",3,0.3214
8196,000000008196.jpg,640,480,dining table,1,0.9651
3483,000000003483.jpg,640,482,"dining table,laptop",2,0.9539
356402,000000356402.jpg,640,480,"dining table,person",2,0.252
564990,000000564990.jpg,640,480,keyboard,1,0.5079
187939,000000187939.jpg,640,480,"keyboard,laptop",2,0.9343
408185,000000408185.jpg,640,480,"keyboard,laptop,mouse",4,0.4424
92344,000000092344.jpg,640,480,"keyboard,laptop,mouse,tv",4,0.4392
237423,000000237423.jpg,640,480,"keyboard,laptop,person",4,0.5929
330881,000000330881.jpg,640,480,"keyboard,laptop,tv",3,0.1798
466967,000000466967.jpg,640,509,"keyboard,mouse",2,0.7696
351479,000000351479.jpg,640,480,"keyboard,mouse,person",3,0.2512
195288,000000195288.jpg,480,640,"keyboard,mouse,person,tv",4,0.2828
70562,000000070562.jpg,640,480,"keyboard,mouse,tv",4,0.5738
357010,000000357010.jpg,480,640,"keyboard,person",2,0.7821
364244,000000364244.jpg,640,480,"keyboard,tv",3,0.4774
225537,000000225537.jpg,480,640,laptop,1,0.6364
536603,000000536603.jpg,640,480,"laptop,mouse",2,0.3398
420156,000000420156.jpg,576,640,"laptop,mouse,person",3,0.3498
356746,000000356746.jpg,640,480,"laptop,mouse,tv",3,0.3252
519588,000000519588.jpg,640,480,"laptop,person",2,0.745
301256,000000301256.jpg,480,640,"laptop,person,tv",3,0.6411
40842,000000040842.jpg,480,640,"laptop,tv",3,0.8875
357342,000000357342.jpg,640,481,mouse,3,0.0433
287239,000000287239.jpg,612,612,person,1,0.8438
38439,000000038439.jpg,640,480,"person,tv",4,1.0932
