split_group,stem,from,to
ec79d3618639e7f8e2ef,s2_f_17_x016_c172_1014_2,train,test
ec79d3618639e7f8e2ef,s2_f_17_x059_c172_0107_2,train,test
ec79d3618639e7f8e2ef,s2_f_17_x059_c172_0107_4,train,test
fe3aa3682f2b39f655d4,s2_f_17_x004_c172_1023_0,train,test
fe3aa3682f2b39f655d4,s2_f_17_x004_c172_1023_2,train,test
fe3aa3682f2b39f655d4,s2_f_17_x136_c172_0107_0,train,test
fe3aa3682f2b39f655d4,s2_f_17_x136_c172_0107_2,train,test
580128f7811097c4a225,s2_f_17_x134_c509_0111_3,train,test
580128f7811097c4a225,s2_f_17_x134_c509_0111_0,train,test
8babc0903ecfcbaab91d,s2_f_17_x038_c172_0107_1,train,test
8babc0903ecfcbaab91d,s2_f_17_x038_c172_0107_4,train,test
8babc0903ecfcbaab91d,s2_f_17_x012_c172_1020_4,train,test
8babc0903ecfcbaab91d,s2_f_17_x012_c172_1020_2,train,test
e672b78e9e53f69fce5a,s2_f_17_x001_c203_1116_2,train,test
e672b78e9e53f69fce5a,s2_f_17_x001_c203_1116_3,train,test
e672b78e9e53f69fce5a,s2_f_17_x005_c203_0118_3,train,test
e672b78e9e53f69fce5a,s2_f_17_x005_c203_0118_4,train,test
d562a0067fbf253d933f,s2_f_17_x004_c172_1014_3,train,test
d562a0067fbf253d933f,s2_f_17_x004_c172_1014_4,train,test
d562a0067fbf253d933f,s2_f_17_x129_c172_0107_4,train,test
d562a0067fbf253d933f,s2_f_17_x129_c172_0107_0,train,test
38d442e478183f30662f,s2_f_17_x006_c015_1022_0,train,test
38d442e478183f30662f,s2_f_17_x006_c015_1022_1,train,test
93c1f9a7e0f31a169bf9,s2_f_17_x001_c209_1212_4,train,test
93c1f9a7e0f31a169bf9,s2_f_17_x001_c209_1212_3,train,test
93c1f9a7e0f31a169bf9,s2_f_17_x001_c209_1116_4,train,test
93c1f9a7e0f31a169bf9,s2_f_17_x001_c209_1116_3,train,test
ee29a038c5d6fea3f69b,s2_f_17_x023_c187_1126_0,train,test
ee29a038c5d6fea3f69b,s2_f_17_x023_c187_1126_1,train,test
ee29a038c5d6fea3f69b,s2_f_17_x023_c187_1126_6_0,train,test
ee29a038c5d6fea3f69b,s2_f_17_x023_c187_1126_6_2,train,test
e67fd30199e681897157,s2_f_17_x007_c323_0116_3,train,test
e67fd30199e681897157,s2_f_17_x007_c323_0116_0,train,test
e67fd30199e681897157,s2_f_17_x004_c324_1118_2,train,test
e67fd30199e681897157,s2_f_17_x004_c324_1118_3,train,test
6049d5b3805c99397e48,s2_f_17_x017_c509_0111_3,train,test
6049d5b3805c99397e48,s2_f_17_x017_c509_0111_0,train,test
0d9262b7fa65fe78cab3,s2_f_17_x003_c014_1027_0,train,test
0d9262b7fa65fe78cab3,s2_f_17_x003_c014_1027_1,train,test
cce4b15ff46ad865854c,s2_f_17_x022_c318_1202_3,train,test
cce4b15ff46ad865854c,s2_f_17_x022_c318_1202_0,train,test
cce4b15ff46ad865854c,s2_f_17_x008_c318_1203_2,train,test
cce4b15ff46ad865854c,s2_f_17_x008_c318_1203_3,train,test
fea033159dec4f6821f6,s2_f_17_x001_c172_1013_2,train,test
fea033159dec4f6821f6,s2_f_17_x001_c172_1013_4,train,test
fea033159dec4f6821f6,s2_f_17_x164_c172_0107_1,train,test
fea033159dec4f6821f6,s2_f_17_x164_c172_0107_4,train,test
b67c426fd6b7488e360c,s2_f_17_x002_c195_1105_2,train,test
b67c426fd6b7488e360c,s2_f_17_x002_c195_1105_1,train,test
b67c426fd6b7488e360c,s2_f_17_x018_c195_1205_1,train,test
b67c426fd6b7488e360c,s2_f_17_x018_c195_1205_2,train,test
9ded95508a5c9970b810,s2_f_17_x001_c209_1117_2,train,test
9ded95508a5c9970b810,s2_f_17_x001_c209_1117_1,train,test
9ded95508a5c9970b810,s2_f_17_x005_c509_0511_2,train,test
9ded95508a5c9970b810,s2_f_17_x005_c509_0511_1,train,test
56c3f50445c49a2d61cc,s2_f_17_x089_c509_0111_3,train,test
56c3f50445c49a2d61cc,s2_f_17_x089_c509_0111_1,train,test
2636fc5ae07a546def44,s2_f_17_x021_c320_1126_3,train,test
2636fc5ae07a546def44,s2_f_17_x021_c320_1126_4,train,test
d44048059872a1eb5e4f,s2_f_17_x012_c172_1012_1,train,test
d44048059872a1eb5e4f,s2_f_17_x012_c172_1012_4,train,test
d44048059872a1eb5e4f,s2_f_17_x094_c172_0107_3,train,test
d44048059872a1eb5e4f,s2_f_17_x094_c172_0107_4,train,test
58349df9fe470fe283aa,s2_f_17_x011_c166_1016_3,train,test
58349df9fe470fe283aa,s2_f_17_x011_c166_1016_1,train,test
c717392cc362e386bec7,s2_f_17_x006_c172_1023_3,train,test
c717392cc362e386bec7,s2_f_17_x006_c172_1023_0,train,test
c717392cc362e386bec7,s2_f_17_x160_c172_0107_1,train,test
c717392cc362e386bec7,s2_f_17_x160_c172_0107_3,train,test
efa54cf299092632aa21,s2_f_17_x004_c193_1105_0,train,test
efa54cf299092632aa21,s2_f_17_x004_c193_1105_1,train,test
efa54cf299092632aa21,s2_f_17_x004_c193_1105_2,train,test
573de9d77c4f05175483,s2_f_17_x121_c509_0111_3,train,test
573de9d77c4f05175483,s2_f_17_x121_c509_0111_0,train,test
a59615bb9977dfc7bd7a,s2_f_17_x007_c193_1105_4,train,test
a59615bb9977dfc7bd7a,s2_f_17_x007_c193_1105_1,train,test
a59615bb9977dfc7bd7a,s2_f_17_x027_c193_1203_2,train,test
a59615bb9977dfc7bd7a,s2_f_17_x027_c193_1203_1,train,test
49cf8e948eae7a4c3b3b,s2_f_17_x135_c509_0111_4,train,test
49cf8e948eae7a4c3b3b,s2_f_17_x135_c509_0111_2,train,test
bd03cdb4faf6504c204c,s2_f_17_x043_c172_0107_2,train,test
bd03cdb4faf6504c204c,s2_f_17_x043_c172_0107_3,train,test
bd03cdb4faf6504c204c,s2_f_17_x013_c172_1014_3,train,test
bd03cdb4faf6504c204c,s2_f_17_x013_c172_1014_2,train,test
a743bf39d8dd195ed833,s2_f_17_x006_c172_1022_4,train,test
a743bf39d8dd195ed833,s2_f_17_x006_c172_1022_1,train,test
a743bf39d8dd195ed833,s2_f_17_x159_c172_0107_2,train,test
a743bf39d8dd195ed833,s2_f_17_x159_c172_0107_4,train,test
6417e0a1d8d6992dc241,s2_f_17_x003_c172_1112_3,train,test
6417e0a1d8d6992dc241,s2_f_17_x003_c172_1112_2,train,test
fb05d94c6775ae71fd86,s2_f_17_x010_c172_1023_1,train,test
fb05d94c6775ae71fd86,s2_f_17_x010_c172_1023_4,train,test
fb05d94c6775ae71fd86,s2_f_17_x026_c172_0107_1,train,test
fb05d94c6775ae71fd86,s2_f_17_x026_c172_0107_3,train,test
a4618f49a4a55cb288a2,s2_f_17_x004_c172_1021_4,train,test
a4618f49a4a55cb288a2,s2_f_17_x004_c172_1021_3,train,test
a4618f49a4a55cb288a2,s2_f_17_x134_c172_0107_4,train,test
a4618f49a4a55cb288a2,s2_f_17_x134_c172_0107_1,train,test
610049f03d978ac330fe,s2_f_17_x004_c198_1112_3,train,test
610049f03d978ac330fe,s2_f_17_x004_c198_1112_1,train,test
991c0b0bba5330a10efe,s2_f_17_x015_c209_1212_0,train,test
991c0b0bba5330a10efe,s2_f_17_x015_c209_1212_4,train,test
991c0b0bba5330a10efe,s2_f_17_x010_c209_1116_3,train,test
991c0b0bba5330a10efe,s2_f_17_x010_c209_1116_0,train,test
58b46894a78ce5b0dd6d,s2_f_17_x039_c320_1125_2,train,test
58b46894a78ce5b0dd6d,s2_f_17_x039_c320_1125_0,train,test
58f9aa85512130f7bd11,s2_f_17_x071_c172_0107_4,train,test
58f9aa85512130f7bd11,s2_f_17_x071_c172_0107_0,train,test
58f9aa85512130f7bd11,s2_f_17_x001_c172_1005_1,train,test
58f9aa85512130f7bd11,s2_f_17_x001_c172_1005_0,train,test
433b0e1d5a2bfea25897,s2_f_17_x022_c329_1116_5_3,train,test
433b0e1d5a2bfea25897,s2_f_17_x022_c329_1116_5_2,train,test
5cd46fbafd1273c031c0,s2_f_17_x011_c192_1116_4,train,test
5cd46fbafd1273c031c0,s2_f_17_x011_c192_1116_2,train,test
62e7b45cc0c8391619dd,s2_f_17_x002_c178_1120_4,train,test
62e7b45cc0c8391619dd,s2_f_17_x002_c178_1120_0,train,test
cb5c59f9cf401e1da8e1,s2_f_17_x014_c172_0107_0,train,test
cb5c59f9cf401e1da8e1,s2_f_17_x014_c172_0107_3,train,test
cb5c59f9cf401e1da8e1,s2_f_17_x005_c172_1027_1,train,test
cb5c59f9cf401e1da8e1,s2_f_17_x005_c172_1027_3,train,test
61eb294033a5fb59c0cc,s2_f_17_x009_c188_1112_2,train,test
61eb294033a5fb59c0cc,s2_f_17_x009_c188_1112_1,train,test
609ff6e8a8fcb307bc8d,s2_f_17_x058_c510_0331_2,train,test
609ff6e8a8fcb307bc8d,s2_f_17_x058_c510_0331_1,train,test
37889a0f8d4bee2f34f7,s2_f_17_x002_c190_1201_3,train,test
37889a0f8d4bee2f34f7,s2_f_17_x002_c190_1201_2,train,test
4c940d4e5bc81d715f39,s2_f_17_x009_c190_1201_1,train,test
4c940d4e5bc81d715f39,s2_f_17_x009_c190_1201_0,train,test
643a2c047820f1b52659,s2_f_17_x460_c777_0330_4,train,test
643a2c047820f1b52659,s2_f_17_x460_c777_0330_3,train,test
5ae8e224545d32f0d7ad,s2_f_17_x009_c164_1019_4,train,test
5ae8e224545d32f0d7ad,s2_f_17_x009_c164_1019_1,train,test
3b2269a71e95016ba463,s2_f_17_x251_c777_0330_1,train,test
3b2269a71e95016ba463,s2_f_17_x251_c777_0330_0,train,test
5960d3460714007d8ea7,s2_f_17_x032_c318_1204_3,train,test
5960d3460714007d8ea7,s2_f_17_x032_c318_1204_2,train,test
4493c82719cf518cda6d,s2_f_17_x092_c500_0331_2,train,test
4493c82719cf518cda6d,s2_f_17_x092_c500_0331_0,train,test
5b16376abb507d2acbcc,s2_f_17_x023_c320_1127_3,train,test
5b16376abb507d2acbcc,s2_f_17_x023_c320_1127_1,train,test
629c61fb8a8d8d08cb0e,s2_f_17_x098_c509_0129_1,train,test
629c61fb8a8d8d08cb0e,s2_f_17_x098_c509_0129_0,train,test
f705b6e9866220c53eea,s2_f_21_x145_c015_0131_0,train,test
f705b6e9866220c53eea,s2_f_21_x145_c015_0131_3,train,test
f705b6e9866220c53eea,s2_f_21_x145_c015_0131_1,train,test
f705b6e9866220c53eea,s2_f_21_x145_c015_0131_2,train,test
f705b6e9866220c53eea,s2_f_21_x145_c015_0131_4,train,test
8466a8d8c74ddc05e860,s2_f_21_x035_c015_0128_1,train,test
8466a8d8c74ddc05e860,s2_f_21_x035_c015_0128_3,train,test
8466a8d8c74ddc05e860,s2_f_21_x035_c015_0128_0,train,test
8466a8d8c74ddc05e860,s2_f_21_x035_c015_0128_4,train,test
8466a8d8c74ddc05e860,s2_f_21_x035_c015_0128_2,train,test
857671e29de08c737b57,s2_f_21_x033_c015_0128_4,train,test
857671e29de08c737b57,s2_f_21_x033_c015_0128_2,train,test
857671e29de08c737b57,s2_f_21_x033_c015_0128_1,train,test
857671e29de08c737b57,s2_f_21_x033_c015_0128_0,train,test
857671e29de08c737b57,s2_f_21_x033_c015_0128_3,train,test
87f10f94d70a88436a0e,s2_f_21_x028_c015_0128_2,train,test
87f10f94d70a88436a0e,s2_f_21_x028_c015_0128_4,train,test
87f10f94d70a88436a0e,s2_f_21_x028_c015_0128_3,train,test
87f10f94d70a88436a0e,s2_f_21_x028_c015_0128_0,train,test
87f10f94d70a88436a0e,s2_f_21_x028_c015_0128_1,train,test
52f326d27dec86701a7e,s2_f_21_x030_c015_0128_2,train,test
52f326d27dec86701a7e,s2_f_21_x030_c015_0128_3,train,test
52f326d27dec86701a7e,s2_f_21_x030_c015_0128_4,train,test
52f326d27dec86701a7e,s2_f_21_x030_c015_0128_0,train,test
52f326d27dec86701a7e,s2_f_21_x030_c015_0128_1,train,test
aceff9cbed246db0b478,s2_f_21_x026_c015_0128_0,train,test
aceff9cbed246db0b478,s2_f_21_x026_c015_0128_3,train,test
aceff9cbed246db0b478,s2_f_21_x026_c015_0128_4,train,test
aceff9cbed246db0b478,s2_f_21_x026_c015_0128_2,train,test
aceff9cbed246db0b478,s2_f_21_x026_c015_0128_1,train,test
556aa997631d67d51f67,s3_taco_001475,train,test
556aa997631d67d51f67,s1_rf_f9783b45f0bd0074cf9801e9,train,test
e7eef04c3890c1e8fac0,s3_taco_000026,train,val
e7eef04c3890c1e8fac0,s1_rf_d7aada45a07fa0b02d1326c3,train,val
0f3ed3617a766066fe0d,s3_taco_000043,train,test
0f3ed3617a766066fe0d,s1_rf_8444e46abf7ae69cd00c473f,train,test
4d0f70b4ef3e344d9217,s1_rf_169ce011131ad78b32cab82d,train,test
4d0f70b4ef3e344d9217,s3_taco_001160,train,test
055b71a70cefae7b1061,s1_rf_5422995fdc3fbd70b644532b,train,test
055b71a70cefae7b1061,s3_taco_001320,train,test
0007f3eac7ed74e6b951,s1_lm_7f062103594a8590e6a8a3c5,train,test
169f75b4fb8e16e49f6a,s1_rf_195ef20fa768635e2c22855b,train,test
169f75b4fb8e16e49f6a,s3_taco_001101,train,test
160cd025abbfed881e6b,s1_lm_86a567e0b397520940b2b5cb,train,val
743b1f1eeb6d446730fd,exp26_rfbat_0d93ee0807bf370b95d8d8a3,train,test
743b1f1eeb6d446730fd,exp26_rfbat_06acdbb4ab5af1977a897ccd,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0c11825b4edc6d76db314f3c,train,test
743b1f1eeb6d446730fd,exp26_rfbat_08e318ae5444b48eaf8ccebd,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0129edc6e5b44803e2fb5677,train,test
743b1f1eeb6d446730fd,exp26_rfbat_041a91d0ecad13322456f955,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0acd57d90b2e6d45277413a7,train,test
743b1f1eeb6d446730fd,exp26_rfbat_09c0dc952a0338dfe7ae47f3,train,test
743b1f1eeb6d446730fd,exp26_rfbat_09c335a7202115359f61f828,train,test
743b1f1eeb6d446730fd,exp26_rfbat_09452218eb6fff78aa3e42cc,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0779883bc0036eaa816e5e83,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0a652d91b26e25fa8d6bdaa3,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0883cafb380f61d119da9ba0,train,test
743b1f1eeb6d446730fd,exp26_rfbat_03b3f1bee6501ed81aa3672a,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0e922cef6d05f70196f9a13f,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0c9940b030cff49675088f72,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0ae50d501512ef3ebe6150f1,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0814ed043418d2b621040ae6,train,test
743b1f1eeb6d446730fd,exp26_rfbat_070f2dfba47a9e330b231310,train,test
743b1f1eeb6d446730fd,exp26_rfbat_099ee1fd627d9c20a7f96e64,train,test
743b1f1eeb6d446730fd,exp26_rfbat_038ff2fc716b01063fa3c087,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0acb9a6ecf09040c95d5fccf,train,test
743b1f1eeb6d446730fd,exp26_rfbat_03b51edcbf3c39a7ee8a3716,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0244a596beabe1fc6d74c64f,train,test
743b1f1eeb6d446730fd,exp26_rfbat_08ea6a77116bd7cb1a375b45,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0b0686754d2378531cb99eed,train,test
743b1f1eeb6d446730fd,exp26_rfbat_07727cf69568bf70c4819e0e,train,test
743b1f1eeb6d446730fd,exp26_rfbat_00e42723fbb25a5f3eb8c422,train,test
743b1f1eeb6d446730fd,exp26_rfbat_08169ebb3fa337db39a8ac6c,train,test
743b1f1eeb6d446730fd,exp26_rfbat_08e1187842cecdfd8cede7ee,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0a93399fc16cebcb8747ad07,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0ae2cde09af6d06ba643e226,train,test
743b1f1eeb6d446730fd,exp26_rfbat_037ce11c3993dc7dc7605732,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0c7d23b9cb695736f38ac85e,train,test
743b1f1eeb6d446730fd,exp26_rfbat_027f4f95af68ef27f4d11d4f,train,test
743b1f1eeb6d446730fd,exp26_rfbat_09b456bd1ba3305f52458db5,train,test
743b1f1eeb6d446730fd,exp26_rfbat_09e7ebb89d34b9bea2679fe1,train,test
743b1f1eeb6d446730fd,exp26_rfbat_077d417b986bc0e0d9616df5,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0c29711b6fe6c92591559d87,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0ad724626192dfa980e9428c,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0147fa2f70d5e821402ee52a,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0be9ea178abdcb64f307a98e,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0afbe2ef400dbb440e5fa1d9,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0400472f7bef85a15d8d149a,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0962143075b35a49fbdcb9f3,train,test
743b1f1eeb6d446730fd,exp26_rfbat_005519aeecb71a4f459da345,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0b7507ef8db46599787a5cd2,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0d253263ee8bddc3e2690e03,train,test
743b1f1eeb6d446730fd,exp26_rfbat_079b682ba8304a9956b9e677,train,test
743b1f1eeb6d446730fd,exp26_rfbat_06f97d606a4770a98dee4a45,train,test
743b1f1eeb6d446730fd,exp26_rfbat_005ffee6aa39c9fdc625bf63,train,test
743b1f1eeb6d446730fd,exp26_rfbat_068cd0226e1b68d83eab9139,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0d41be7642ae7667ba0321d2,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0e6beba865fa5860127c764a,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0cb20c42e0f084c81b6e6703,train,test
743b1f1eeb6d446730fd,exp26_rfbat_08be1b108b03c1da9f463d76,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0eb687e41ff280517e30be55,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0285dcddf41dcc6b8984f6f8,train,test
743b1f1eeb6d446730fd,exp26_rfbat_06e002e62bf477d4d8bbd91d,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0bd641c9cbda453f3ca32c2f,train,test
743b1f1eeb6d446730fd,exp26_rfbat_077528d266800f288145218e,train,test
743b1f1eeb6d446730fd,exp26_rfbat_021c7bbaa9a0be229676b73c,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0e384e41cfbd30d27254ec77,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0b7613709976fc96d342dd18,train,test
743b1f1eeb6d446730fd,exp26_rfbat_04d034272d8790a1096c8128,train,test
743b1f1eeb6d446730fd,exp26_rfbat_08a148480fe8bb7d8d62bd2c,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0542928e7478ecc0400e5801,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0819599eff669d02ce69212b,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0b3744f54b1cdb37547237ff,train,test
743b1f1eeb6d446730fd,exp26_rfbat_045e25cea77ac667ba62a541,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0742dc2dc7dbb1452203b4a7,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0477ae82cec2ff23f73bacd4,train,test
743b1f1eeb6d446730fd,exp26_rfbat_015007e7e28e20ac2f4800c2,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0d9de459f3780229a58b2822,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0a5fa8fd7c242a7be180d0f2,train,test
743b1f1eeb6d446730fd,exp26_rfbat_05ce0ff5444945c76a07691f,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0558195bf9acfdfafbb3d9fd,train,test
743b1f1eeb6d446730fd,exp26_rfbat_06c2a9be9c441b129377bbbd,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0980d7379be2d33ddfc8bead,train,test
743b1f1eeb6d446730fd,exp26_rfbat_0e39dfa391c011f04aa726a8,train,test
ca3c48eb08593735c248,exp26_rfbat_036998c0345a637a2a4e06c4,train,test
ca3c48eb08593735c248,exp26_rfbat_07ed65ba940621c9320af6a1,train,test
ca3c48eb08593735c248,exp26_rfbat_09a1ae05e1e4211cb11bc512,train,test
ca3c48eb08593735c248,exp26_rfbat_06dedcdd93d588152f71c837,train,test
ca3c48eb08593735c248,exp26_rfbat_02411b02b78610a1273c1090,train,test
ca3c48eb08593735c248,exp26_rfbat_0405ab8bf091962ba622100d,train,test
ca3c48eb08593735c248,exp26_rfbat_0766dfeac89c6c52092bbdc3,train,test
ca3c48eb08593735c248,exp26_rfbat_080d71c6fd2ed2719bd0bfe8,train,test
ca3c48eb08593735c248,exp26_rfbat_082ea60e6cc21096ae1adc6c,train,test
ca3c48eb08593735c248,exp26_rfbat_00088bb756e45d8b59ff6c87,train,test
ca3c48eb08593735c248,exp26_rfbat_03d7afb9969a5792ad6ccf0b,train,test
ca3c48eb08593735c248,exp26_rfbat_06d02e99508aadf98fa33255,train,test
ca3c48eb08593735c248,exp26_rfbat_0443eb42a63fcce53758da4f,train,test
ca3c48eb08593735c248,exp26_rfbat_000643091ff47891bf6d8ecc,train,test
ca3c48eb08593735c248,exp26_rfbat_0595350e3543f831eea3e96a,train,test
ca3c48eb08593735c248,exp26_rfbat_05fa461982dfd0a315f6051b,train,test
ca3c48eb08593735c248,exp26_rfbat_02a3970466412afb0081457e,train,test
ca3c48eb08593735c248,exp26_rfbat_0394b3efe2a8b34036dc3173,train,test
ca3c48eb08593735c248,exp26_rfbat_034f8b589f5c10378b71c28a,train,test
ca3c48eb08593735c248,exp26_rfbat_02f5df1f41b0225f41740110,train,test
ca3c48eb08593735c248,exp26_rfbat_00edf51632f3ba833c6a0d8f,train,test
ca3c48eb08593735c248,exp26_rfbat_051428ecb6ea269215684954,train,test
ca3c48eb08593735c248,exp26_rfbat_071e9a88605d94675d25ef5d,train,test
ca3c48eb08593735c248,exp26_rfbat_003586831e18cffe64dc08b8,train,test
ca3c48eb08593735c248,exp26_rfbat_02ccef8ad5c91fc1ee1b2d4c,train,test
ca3c48eb08593735c248,exp26_rfbat_02700a06649af053ad813ff1,train,test
ca3c48eb08593735c248,exp26_rfbat_07f33ff9876e5b30415fc50d,train,test
ca3c48eb08593735c248,exp26_rfbat_07b52a1417661242eaeddc19,train,test
ca3c48eb08593735c248,exp26_rfbat_03e3243529042f8af807fa01,train,test
ca3c48eb08593735c248,exp26_rfbat_0742580ae9d34c7e78935d96,train,test
ca3c48eb08593735c248,exp26_rfbat_098761f6d2279f59f81f4c57,train,test
ca3c48eb08593735c248,exp26_rfbat_03b2d0d8e702b25c9a7e2143,train,test
ca3c48eb08593735c248,exp26_rfbat_0266848585d52a7c3ca16f5f,train,test
ca3c48eb08593735c248,exp26_rfbat_084dd85d55d075ad77f01a93,train,test
ca3c48eb08593735c248,exp26_rfbat_050d01e030e4948d70e81e70,train,test
ca3c48eb08593735c248,exp26_rfbat_05b0a586be2650c0c7053015,train,test
ca3c48eb08593735c248,exp26_rfbat_061fa4318077fd2ac1a39dff,train,test
ca3c48eb08593735c248,exp26_rfbat_056cdd5e5fe9733d40361a7b,train,test
